City,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
264,Marrakesh,MA,62.67,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
265,Santa Cruz Cabralia,BR,77.23,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
266,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
267,Poquoson,US,71.04,broken clouds,37.1224,-76.3458,Whitehouse Cove
269,Cadereyta,MX,88.18,clear sky,25.5833,-99.9833,Hotel Maria Luisa Inn and Suites
272,Hualmay,PE,73.29,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
273,Ghatal,IN,73.11,few clouds,22.6667,87.7167,Mongal Bhawan
274,Puerto Gaitan,CO,84.25,overcast clouds,4.3133,-72.0816,Brisas del Yucao
276,Panzhihua,CN,60.73,overcast clouds,26.5851,101.7128,Electric Power Hotel
277,Owo,NG,78.12,overcast clouds,7.1962,5.5868,The Chancery Hotel and Resort limited
279,Rawson,AR,72.73,clear sky,-43.3002,-65.1023,Hosteria Sampedro
280,Panlaitan,PH,82.29,broken clouds,12.1191,119.8486,Panlaitan Cetro Beach
281,Port Keats,AU,80.91,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
283,Luanda,AO,82.4,thunderstorm,-8.8368,13.2343,EPIC SANA Luanda
284,Anloga,GH,83.25,overcast clouds,5.7947,0.8973,Pin Drop Hotel
286,Taltal,CL,67.68,few clouds,-25.4,-70.4833,Residencial Karime
287,Plettenberg Bay,ZA,67.35,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
289,Mandurah,AU,59.92,clear sky,-32.55,115.7,Atrium Hotel Mandurah
291,Wynyard,AU,59.95,broken clouds,-41,145.7167,Burnie Airport Motel
292,Wodonga,AU,61.97,broken clouds,-36.1167,146.8833,The Hume Inn Motel
293,Sibiti,CG,69.67,overcast clouds,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
294,Namibe,AO,76.3,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
296,Calvinia,ZA,69.17,broken clouds,-31.4707,19.776,Die Lemoenhuis
298,Devonport,AU,59.99,broken clouds,-41.1667,146.35,Gateway Hotel by Nightcap Plus
301,Iralaya,HN,81.32,scattered clouds,15,-83.2333,Iglesia morava renovada
302,Tsiroanomandidy,MG,66.56,overcast clouds,-18.7667,46.0333,Hotel Ravinala
305,Maragogi,BR,79.5,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
306,Muros,ES,54.84,light rain,42.7762,-9.0603,Apartment Av. Castelao
309,Antsohihy,MG,74.91,scattered clouds,-14.8796,47.9875,Hotel de Ville
312,Kavaratti,IN,82.35,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
314,Pahrump,US,75.83,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
319,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
321,Great Falls,US,58.66,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
322,Moerai,PF,81.1,overcast clouds,-22.4333,-151.3333,Le Manotel
323,Basco,PH,77.76,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
324,Yulara,AU,75.04,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
327,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
328,Omboue,GA,78.78,overcast clouds,-1.5746,9.2618,Hotel Olako
329,Sorong,ID,79,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
331,Karwar,IN,79.27,overcast clouds,14.8,74.1333,Netalco Connects
334,Inhambane,MZ,74.91,light rain,-23.865,35.3833,Oceano
335,Buenos Aires,AR,73.29,broken clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
338,Santa Maria,BR,76.3,scattered clouds,-29.6842,-53.8069,Hotel Morotin
339,Cockburn Town,TC,77.76,clear sky,21.4612,-71.1419,Osprey Beach Hotel
342,Camapua,BR,79.52,broken clouds,-19.5314,-54.0439,Comercial Estrela
344,Doha,QA,75.51,clear sky,25.2867,51.5333,Movenpick Hotel Doha
346,Cayenne,GF,75.24,light rain,4.9333,-52.3333,Hôtel Le Dronmi
347,Lazaro Cardenas,MX,82.49,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
348,Praya,CV,70.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
349,Media Luna,CU,82.67,clear sky,20.1419,-77.435,Casa particular Pedro y Tamara
352,Kailua,US,78.78,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
353,Vao,NC,76.19,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
354,Fallon,US,63.45,scattered clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
